SENTENCE_ID,SENTENCE,NUMBER_WORDS_SENTENCE
2-1344,But  it  was  quite  a  natural  suggestion  for  a  layman  to  make. ,12
2-1345,But  Monsieur  Lawrence  is  not  a  layman. ,7
2-1346,"You  told  me  yourself  that  he  had  started  by  studying  medicine,  and  that  he  had  taken  his  degree. ",18
2-1347,"Yes,  that's  true. ",3
2-1348,I  never  thought  of  that. ,5
2-1349,I  was  rather  startled. ,4
2-1350,It  is  odd. ,3
2-1351,Poirot  nodded. ,2
2-1352,"From  the  first,  his  behaviour  has  been  peculiar. ",8
2-1353,"Of  all  the  household,  he  alone  would  be  likely  to  recognize  the  symptoms  of  strychnine  poisoning,  and  yet  we  find  him  the  only  member  of  the  family  to  uphold  strenuously  the  theory  of  death  from  natural  causes. ",37
2-1354,"If  it  had  been  Monsieur  John,  I  could  have  understood  it. ",11
2-1355,"He  has  no  technical  knowledge,  and  is  by  nature  unimaginative. ",10
2-1356,But  Monsieur  Lawrence...no! ,3
2-1357,"And  now,  today,  he  puts  forward  a  suggestion  that  he  himself  must  have  known  was  ridiculous. ",16
2-1358,"There  is  food  for  thought  in  this,  mon  ami! ",9
2-1359,"It's  very  confusing,  I  agreed. ",5
2-1360,"Then  there  is  Mr.s.  Cavendish,  continued  Poirot. ",7
2-1361,That's  another  who  is  not  telling  all  she  knows! ,9
2-1362,What  do  you  make  of  her  attitude? ,7
2-1363,I  don't  know  what  to  make  of  it. ,8
2-1364,It  seems  inconceivable  that  she  should  be  shielding  Alfred  Inglethorp. ,10
2-1365,Yet  that  is  what  it  looks  like. ,7
2-1366,Poirot  nodded  reflectively. ,3
2-1367,"Yes,  it  is  queer. ",4
2-1368,"One  thing  is  certain,  she  overheard  a  good  deal  more  of  that  'private  conversation'  than  she  was  willing  to  admit. ",20
2-1369,And  yet  she  is  the  last  person  one  would  accuse  of  stooping  to  eavesdrop! ,14
2-1370,Exactly. ,1
2-1371,One  thing  her  evidence  has  shown  me. ,7
2-1372,I  made  a  mistake. ,4
2-1373,Dorcas  was  quite  right. ,4
2-1374,"The  quarrel  did  take  place  earlier  in  the  afternoon,  about  four  o'clock,  as  she  said. ",15
2-1375,I  looked  at  him  curiously. ,5
2-1376,I  had  never  understood  his  insistence  on  that  point. ,9
2-1377,"Yes,  a  good  deal  that  was  peculiar  came  out  today,  continued  Poirot. ",12
2-1378,"Dr  Bauerstein,  now,  what  was  he  doing  up  and  dressed  at  that  hour  in  the  morning? ",16
2-1379,It  is  astonishing  to  me  that  no  one  commented  on  the  fact. ,12
2-1380,"He  has  insomnia,  I  believe,  I  said  doubtfully. ",8
2-1381,"Which  is  a  very  good,  or  a  very  bad  explanation,  remarked  Poirot. ",12
2-1382,"It  covers  everything,  and  explains  nothing. ",6
2-1383,I  shall  keep  my  eye  on  our  clever  Dr  Bauerstein. ,10
2-1384,Any  more  faults  to  find  with  the  evidence? ,8
2-1385,I  inquired  satirically. ,3
2-1386,"Mon  ami,  replied  Poirot  gravely,  when  you  find  that  people  are  not  telling  you  the  truth...look  out! ",17
2-1387,"Now,  unless  I  am  much  mistaken,  at  the  inquest  today  only  one...at  most,  two  persons  were  speaking  the  truth  without  reservation  or  subterfuge. ",23
2-1388,"Oh,  come  now,  Poirot! ",4
2-1389,"I  won't  cite  Lawrence,  or  Mr.s.  Cavendish. ",7
2-1390,"But  there's  John...and  Miss  Howard,  surely  they  were  speaking  the  truth? ",11
2-1391,"Both  of  them,  my  friend? ",5
2-1392,"One,  I  grant  you,  but  both......! ",6
2-1393,His  words  gave  me  an  unpleasant  shock. ,7
2-1394,"Miss  Howard's  evidence,  unimportant  as  it  was,  had  been  given  in  such  a  downright  straightforward  manner  that  it  had  never  occurred  to  me  to  doubt  her  sincerity. ",27
2-1395,"Still,  I  had  a  great  respect  for  Poirot's  sagacity...except  on  the  occasions  when  he  was  what  I  described  to  myself  as  foolishly  pig-headed. ",23
2-1396,Do  you  really  think  so?  I  asked. ,7
2-1397,Miss  Howard  had  always  seemed  to  me  so  essentially  honest...almost  uncomfortably  so. ,12
2-1398,"Poirot  gave  me  a  curious  look,  which  I  could  not  quite  fathom. ",12
2-1399,"He  seemed  to  speak,  and  then  checked  himself. ",8
2-1400,"Miss  Murdoch  too,  I  continued,  there's  nothing  untruthful  about  her. ",10
2-1401,No. ,1
2-1402,"But  it  was  strange  that  she  never  heard  a  sound,  sleeping  next  door;  whereas  Mr.s.  Cavendish,  in  the  other  wing  of  the  building,  distinctly  heard  the  table  fall. ",28
2-1403,"Well,  she's  young. ",3
2-1404,And  she  sleeps  soundly. ,4
2-1405,"Ah,  yes,  indeed! ",3
2-1406,"She  must  be  a  famous  sleeper,  that  one! ",8
2-1407,"I  did  not  quite  like  the  tone  of  his  voice,  but  at  that  moment  a  smart  knock  reached  our  ears,  and  looking  out  of  the  window  we  perceived  the  two  detectives  waiting  for  us  below. ",35
2-1408,"Poirot  seized  his  hat,  gave  a  ferocious  twist  to  his  moustache,  and,  carefully  brushing  an  imaginary  speck  of  dust  from  his  sleeve,  motioned  me  to  precede  him  down  the  stairs;  there  we  joined  the  detectives  and  set  out  for  Styles. ",40
2-1409,"I  think  the  appearance  of  the  two  Scotland  Yard  men  was  rather  a  shock...especially  to  John,  though  of  course  after  the  verdict,  he  had  realized  that  it  was  only  a  matter  of  time. ",33
2-1410,"Still,  the  presence  of  the  detectives  brought  the  truth  home  to  him  more  than  anything  else  could  have  done. ",19
2-1411,"Poirot  had  conferred  with  Japp  in  a  low  tone  on  the  way  up,  and  it  was  the  latter  functionary  who  requested  that  the  household,  with  the  exception  of  the  servants,  should  be  assembled  together  in  the  drawing-room. ",37
2-1412,I  realized  the  significance  of  this. ,6
2-1413,It  was  up  to  Poirot  to  make  his  boast  good. ,10
2-1414,"Personally,  I  was  not  sanguine. ",5
2-1415,"Poirot  might  have  excellent  reasons  for  his  belief  in  Inglethorp's  innocence,  but  a  man  of  the  type  of  Summerhaye  would  require  tangible  proofs,  and  these  I  doubted  if  Poirot  could  supply. ",31
2-1416,"Before  very  long  we  had  all  trooped  into  the  drawing-room,  the  door  of  which  Japp  closed. ",16
2-1417,Poirot  politely  set  chairs  for  every  one. ,7
2-1418,The  Scotland  Yard  men  were  the  cynosure  of  all  eyes. ,10
2-1419,"I  think  that  for  the  first  time  we  realized  that  the  thing  was  not  a  bad  dream,  but  a  tangible  reality. ",21
2-1420,We  had  read  of  such  things...now  we  ourselves  were  actors  in  the  drama. ,13
2-1421,"Tomorrow  the  daily  papers,  all  over  England,  would  blazon  out  the  news  in  staring  headlines:  MYSTERIOUS  TRAGEDY  IN  ESSEX  WEALTHY  LADY  POISONED ",22
2-1422,"There would  be  pictures  of  Styles,  snap-shots  of  The  family  leaving  the  Inquest ...the  village  photographer  had  not  been  idle! ",19
2-1423,"All  the  things  that  one  had  read  a  hundred  times,  things  that  happen  to  other  people,  not  to  oneself. ",19
2-1424,"And  now,  in  this  house,  a  murder  had  been  committed. ",10
2-1425,In  front  of  us  were  the  detectives  in  charge  of  the  case. ,12
2-1426,The  well-known  glib  phraseology  passed  rapidly  through  my  mind  in  the  interval  before  Poirot  opened  the  proceedings. ,17
2-1427,I  think  every  one  was  a  little  surprised  that  it  should  be  he  and  not  one  of  the  official  detectives  who  took  the  initiative. ,24
2-1428,"Mesdames  and  messieurs,  said  Poirot,  bowing  as  though  he  were  a  celebrity  about  to  deliver  a  lecture,  I  have  asked  you  to  come  here  all  together,  for  a  certain  object. ",30
2-1429,"That  object,  it  concerns  Mr.  Alfred  Inglethorp. ",7
2-1430,"Inglethorp  was  sitting  a  little  by  himself...I  think,  unconsciously,  every  one  had  drawn  his  chair  slightly  away  from  him...and  he  gave  a  faint  start  as  Poirot  pronounced  his  name. ",29
2-1431,"Mr.  Inglethorp,  said  Poirot,  addressing  him  directly,  a  very  dark  shadow  is  resting  on  this  house...the  shadow  of  murder. ",19
2-1432,Inglethorp  shook  his  head  sadly. ,5
2-1433,"My  poor  wife,  he  murmured. ",5
2-1434,Poor  Emily! ,2
2-1435,It  is  terrible. ,3
2-1436,"I  do  not  think,  monsieur,  said  Poirot  pointedly,  that  you  quite  realize  how  terrible  it  may  be...for  you. ",18
2-1437,"And  as  Inglethorp  did  not  appear  to  understand,  he  added:  Mr.  Inglethorp,  you  are  standing  in  very  grave  danger. ",19
2-1438,The  two  detectives  fidgeted. ,4
2-1439,"I  saw  the  official  caution  Anything  you  say  will  be  used  in  evidence  against  you,  actually  hovering  on  Summerhaye's  lips. ",20
2-1440,Poirot  went  on. ,3
2-1441,"Do  you  understand  now,  monsieur? ",5
2-1442,No;  What  do  you  mean? ,5
2-1443,"I  mean,  said  Poirot  deliberately,  that  you  are  suspected  of  poisoning  your  wife. ",13
2-1444,A  little  gasp  ran  round  the  circle  at  this  plain  speaking. ,11
2-1445,"Good  heavens!  cried  Inglethorp,  starting  up. ",6
2-1446,What  a  monstrous  idea! ,4
2-1447,I...poison  my  dearest  Emily! ,4
2-1448,I  do  not  think ...Poirot  watched  him  narrowly... that  you  quite  realize  the  unfavourable  nature  of  your  evidence  at  the  inquest. ,19
2-1449,"Mr.  Inglethorp,  knowing  what  I  have  now  told  you,  do  you  still  refuse  to  say  where  you  were  at  six  o'clock  on  Monday  afternoon? ",24
2-1450,"With  a  groan,  Alfred  Inglethorp  sank  down  again  and  buried  his  face  in  his  hands. ",15
2-1451,Poirot  approached  and  stood  over  him. ,6
2-1452,Speak!  he  cried  menacingly. ,4
2-1453,"With  an  effort,  Inglethorp  raised  his  face  from  his  hands. ",10
2-1454,"Then,  slowly  and  deliberately,  he  shook  his  head. ",8
2-1455,You  will  not  speak? ,4
2-1456,No. ,1
2-1457,I  do  not  believe  that  anyone  could  be  so  monstrous  as  to  accuse  me  of  what  you  say. ,18
2-1458,"Poirot  nodded  thoughtfully,  like  a  man  whose  mind  is  made  up. ",11
2-1459,Soit!  he  said. ,3
2-1460,Then  I  must  speak  for  you. ,6
2-1461,Alfred  Inglethorp  sprang  up  again. ,5
2-1462,You? ,1
2-1463,How  can  you  speak? ,4
2-1464,You  do  not  know......  he  broke  off  abruptly. ,8
2-1465,Poirot  turned  to  face  us. ,5
2-1466,Mesdames  and  messieurs! ,3
2-1467,I  speak! ,2
2-1468,Listen! ,1
2-1469,"I,  Hercule  Poirot,  affirm  that  the  man  who  entered  the  chemist's  shop,  and  purchased  strychnine  at  six  o'clock  on  Monday  last  was  not  Mr.  Inglethorp,  for  at  six  o'clock  on  that  day  Mr.  Inglethorp  was  escorting  Mr.s.  Raikes  back  to  her  home  from  a  neighbouring  farm. ",46
2-1470,"I  can  produce  no  less  than  five  witnesses  to  swear  to  having  seen  them  together,  either  at  six  or  just  after  and,  as  you  may  know,  the  Abbey  Farm,  Mr.s.  Raikes's  home,  is  at  least  two  and  a  half  miles  distant  from  the  village. ",44
2-1471,There  is  absolutely  no  question  as  to  the  alibi! ,9
3-1,There  was  a  moment's  stupefied  silence. ,6
3-2,"Japp,  who  was  the  least  surprised  of  any  of  us,  was  the  first  to  speak. ",15
3-3,"My  word,  he  cried,  you're  the  goods! ",7
3-4,"And  no  mistake,  Mr.  Poirot! ",5
3-5,"These  witnesses  of  yours  are  all  right,  I  suppose? ",9
3-6,Voila! ,1
3-7,I  have  prepared  a  list  of  them...names  and  addresses. ,9
3-8,"You  must  see  them,  of  course. ",6
3-9,But  you  will  find  it  all  right. ,7
3-10,I'm  sure  of  that. ,4
3-11,Japp  lowered  his  voice. ,4
3-12,I'm  much  obliged  to  you. ,5
3-13,A  pretty  mare's  nest  arresting  him  would  have  been. ,9
3-14,He  turned  to  Inglethorp. ,4
3-15,"But,  if  you'll  excuse  me,  sir,  why  couldn't  you  say  all  this  at  the  inquest? ",15
3-16,"I  will  tell  you  why,  interrupted  Poirot. ",7
3-17,There  was  a  certain  rumour...... ,5
3-18,"A most  malicious  and  utterly  untrue  one,  interrupted  Alfred  Inglethorp  in  an  agitated  voice. ",14
3-19,And  Mr.  Inglethorp  was  anxious  to  have  no  scandal  revived  just  at  present. ,13
3-20,Am  I  right? ,3
3-21,Quite  right. ,2
3-22,Inglethorp  nodded. ,2
3-23,"With  my  poor  Emily  not  yet  buried,  can  you  wonder  I  was  anxious  that  no  more  lying  rumours  should  be  started. ",21
3-24,"Between  you  and  me,  sir,  remarked  Japp,  I'd  sooner  have  any  amount  of  rumours  than  be  arrested  for  murder. ",19
3-25,And  I  venture  to  think  your  poor  lady  would  have  felt  the  same. ,13
3-26,"And,  if  it  hadn't  been  for  Mr.  Poirot  here,  arrested  you  would  have  been,  as  sure  as  eggs  is  eggs! ",20
3-27,"I  was  foolish,  no  doubt,  murmured  Inglethorp. ",7
3-28,"But  you  do  not  know,  inspector,  how  I  have  been  persecuted  and  maligned. ",13
3-29,And  he  shot  a  baleful  glance  at  Evelyn  Howard. ,9
3-30,"Now,  sir,  said  Japp,  turning  briskly  to  John,  I  should  like  to  see  the  lady's  bedroom,  please,  and  after  that  I'll  have  a  little  chat  with  the  servants. ",28
3-31,Don't  you  bother  about  anything. ,5
3-32,"Mr.  Poirot,  here,  will  show  me  the  way. ",8
3-33,"As  they  all  went  out  of  the  room,  Poirot  turned  and  made  me  a  sign  to  follow  him  upstairs. ",19
3-34,"There  he  caught  me  by  the  arm,  and  drew  me  aside. ",11
3-35,"Quick,  go  to  the  other  wing. ",6
3-36,Stand  there...just  this  side  of  the  baize  door. ,8
3-37,Do  not  move  till  I  come. ,6
3-38,"Then,  turning  rapidly,  he  rejoined  the  two  detectives. ",8
3-39,"I  followed  his  instructions,  taking  up  my  position  by  the  baize  door,  and  wondering  what  on  earth  lay  behind  the  request. ",21
3-40,Why  was  I  to  stand  in  this  particular  spot  on  guard? ,11
3-41,I  looked  thoughtfully  down  the  corridor  in  front  of  me. ,10
3-42,An  idea  struck  me. ,4
3-43,"With  the  exception  of  Cynthia  Murdoch's,  every  one's  room  was  in  this  left  wing. ",14
3-44,Had  that  anything  to  do  with  it? ,7
3-45,Was  I  to  report  who  came  or  went? ,8
3-46,I  stood  faithfully  at  my  post. ,6
3-47,The  minutes  passed. ,3
3-48,Nobody  came. ,2
3-49,Nothing  happened. ,2
3-50,It  must  have  been  quite  twenty  minutes  before  Poirot  rejoined  me. ,11
3-51,You  have  not  stirred? ,4
3-52,"No,  I've  stuck  here  like  a  rock. ",7
3-53,Nothing's  happened. ,2
3-54,Ah! ,1
3-55,"Was  he  pleased,  or  disappointed? ",5
3-56,You've  seen  nothing  at  all? ,5
3-57,No. ,1
3-58,But  you  have  probably  heard  something? ,6
3-59,"A  big  bump...eh,  mon  ami? ",5
3-60,No. ,1
3-61,Is  it  possible? ,3
3-62,"Ah,  but  I  am  vexed  with  myself! ",7
3-63,I  am  not  usually  clumsy. ,5
3-64,"I  made  but  a  slight  gesture ...I  know  Poirot's  gestures... with  the  left  hand,  and  over  went  the  table  by  the  bed! ",20
3-65,He  looked  so  childishly  vexed  and  crest-fallen  that  I  hastened  to  console  him. ,13
3-66,"Never  mind,  old  chap. ",4
3-67,What  does  it  matter? ,4
3-68,Your  triumph  downstairs  excited  you. ,5
3-69,"I  can  tell  you,  that  was  a  surprise  to  us  all. ",11
3-70,"There  must  be  more  in  this  affair  of  Inglethorp's  with  Mr.s.  Raikes  than  we  thought,  to  make  him  hold  his  tongue  so  persistently. ",23
3-71,What  are  you  going  to  do  now? ,7
3-72,Where  are  the  Scotland  Yard  fellows? ,6
3-73,Gone  down  to  interview  the  servants. ,6
3-74,I  showed  them  all  our  exhibits. ,6
3-75,I  am  disappointed  in  Japp. ,5
3-76,He  has  no  method! ,4
3-77,Hullo! ,1
3-78,"Hullo!  said,  looking  out  of  the  window. ",7
3-79,Here's  Dr  Bauerstein. ,3
3-80,"I  believe  you're  right  about  that  man,  Poirot. ",8
3-81,I  don't  like  him. ,4
3-82,"He  is  clever,  observed  Poirot  meditatively. ",6
3-83,"Oh,  clever  as  the  devil! ",5
3-84,I  must  say  I  was  overjoyed  to  see  him  in  the  plight  he  was  in  on  Tuesday. ,17
3-85,You  never  saw  such  a  spectacle! ,6
3-86,And  I  described  the  doctor's  adventure. ,6
3-87,He  looked  a  regular  scarecrow! ,5
3-88,Plastered  with  mud  from  head  to  foot. ,7
3-89,"You  saw  him,  then? ",4
3-90,Yes. ,1
3-91,"Of  course,  he  didn't  want  to  come  in...it  was  just  after  dinner...but  Mr.  Inglethorp  insisted. ",15
3-92,What? ,1
3-93,Poirot  caught  me  violently  by  the  shoulders. ,7
3-94,Was  Dr  Bauerstein  here  on  Tuesday  evening? ,7
3-95,Here? ,1
3-96,And  you  never  told  me? ,5
3-97,Why  did  you  not  tell  me? ,6
3-98,Why? ,1
3-99,Why? ,1
3-100,He  appeared  to  be  in  an  absolute  frenzy. ,8
3-101,"My  dear  Poirot,  I  expostulated,  I  never  thought  it  would  interest  you. ",12
3-102,I  didn't  know  it  was  of  any  importance. ,8
3-103,Importance? ,1
3-104,It  is  of  the  first  importance! ,6
3-105,So  DrBauerstein  was  here  on  Tuesday  night...the  night  of  the  murder. ,11
3-106,"Hastings,  do  you  not  see? ",5
3-107,That  alters  everything...everything! ,3
3-108,I  had  never  seen  him  so  upset. ,7
3-109,"Loosening  his  hold  of  me,  he  mechanically  straightened  a  pair  of  candlesticks,  still  murmuring  to  himself:  Yes,  that  alters  everything...everything. ",20
3-110,Suddenly  he  seemed  to  come  to  a  decision. ,8
3-111,Allons!  he  said. ,3
3-112,We  must  act  at  once. ,5
3-113,Where  is  Mr.  Cavendish? ,4
3-114,John  was  in  the  smoking-room. ,5
3-115,Poirot  went  straight  to  him. ,5
3-116,"Mr.  Cavendish,  I  have  some  important  business  in  Tadminster. ",9
3-117,A  new  clue. ,3
3-118,May  I  take  your  motor? ,5
3-119,"Why,  of  course. ",3
3-120,Do  you  mean  at  once? ,5
3-121,If  you  please. ,3
3-122,"John  rang  the  bell,  and  ordered  round  the  car. ",9
3-123,"In  another  ten  minutes,  we  were  racing  down  the  park  and  along  the  high  road  to  Tadminster. ",17
3-124,"Now,  Poirot,  I  remarked  resignedly,  perhaps  you  will  tell  me  what  all  this  is  about? ",15
3-125,"Well,  mon  ami,  a  good  deal  you  can  guess  for  yourself. ",11
3-126,"Of  course  you  realize  that,  now  Mr.  Inglethorp  is  out  of  it,  the  whole  position  is  greatly  changed. ",18
3-127,We  are  face  to  face  with  an  entirely  new  problem. ,10
3-128,We  know  now  that  there  is  one  person  who  did  not  buy  the  poison. ,14
3-129,We  have  cleared  away  the  manufactured  clues. ,7
3-130,Now  for  the  real  ones. ,5
3-131,"I  have  ascertained  that  anyone  in  the  household,  with  the  exception  of  Mr.s.  Cavendish,  who  was  playing  tennis  with  you,  could  have  personated  Mr.  Inglethorp  on  Monday  evening. ",28
3-132,"In  the  same  way,  we  have  his  statement  that  he  put  the  coffee  down  in  the  hall. ",17
3-133,No  one  took  much  notice  of  that  at  the  inquest...but  now  it  has  a  very  different  significance. ,17
3-134,"We  must  find  out  who  did  take  that  coffee  to  Mr.s.  Inglethorp  eventually,  or  who  passed  through  the  hall  whilst  it  was  standing  there. ",24
3-135,"From  your  account,  there  are  only  two  people  whom  we  can  positively  say  did  not  go  near  the  coffee...Mr.s.  Cavendish,  and  Mademoiselle  Cynthia. ",23
3-136,"Yes,  that  is  so. ",4
3-137,I  felt  an  inexpressible  lightening  of  the  heart. ,8
3-138,Mary  Cavendish  could  certainly  not  rest  under  suspicion. ,8
3-139,"In  clearing  Alfred  Inglethorp,  continued  Poirot,  I  have  been  obliged  to  show  my  hand  sooner  than  I  intended. ",18
3-140,"As  long  as  I  might  be  thought  to  be  pursuing  him,  the  criminal  would  be  off  his  guard. ",18
3-141,"Now,  he  will  be  doubly  careful. ",6
3-142,Yes...doubly  careful. ,2
3-143,He  turned  to  me  abruptly. ,5
3-144,"Tell  me,  Hastings,  you  yourself...have  you  no  suspicions  of  anybody? ",10
3-145,I  hesitated. ,2
3-146,"To  tell  the  truth,  an  idea,  wild  and  extravagant  in  itself,  had  once  or  twice  that  morning  flashed  through  my  brain. ",21
3-147,"I  had  rejected  it  as  absurd,  nevertheless  it  persisted. ",9
3-148,"You  couldn't  call  it  a  suspicion,  I  murmured. ",8
3-149,It's  so  utterly  foolish. ,4
3-150,"Come  now,  urged  Poirot  encouragingly. ",5
3-151,Do  not  fear. ,3
3-152,Speak  your  mind. ,3
3-153,You  should  always  pay  attention  to  your  instincts. ,8
3-154,"Well  then,  I  blurted  out,  it's  absurd...but  I  suspect  Miss  Howard  of  not  telling  all  she  knows! ",17
3-155,Miss  Howard? ,2
3-156,Yes...you'll  laugh  at  me......  Not  at  all. ,7
3-157,Why  should  I? ,3
3-158,"I  can't  help  feeling,  I  continued  blunderingly;  that  we've  rather  left  her  out  of  the  possible  suspects,  simply  on  the  strength  of  her  having  been  away  from  the  place. ",29
3-159,"But,  after  all,  she  was  only  fifteen  miles  away. ",9
3-160,A  car  would  do  it  in  half  an  hour. ,9
3-161,Can  we  say  positively  that  she  was  away  from  Styles  on  the  night  of  the  murder? ,16
3-162,"Yes,  my  friend,  said  Poirot  unexpectedly,  we  can. ",8
3-163,One  of  my  first  actions  was  to  ring  up  the  hospital  where  she  was  working. ,15
3-164,Well? ,1
3-165,"Well,  I  learnt  that  Miss  Howard  had  been  on  afternoon  duty  on  Tuesday,  and  that...a  convoy  coming  in  unexpectedly...she  had  kindly  offered  to  remain  on  night  duty,  which  offer  was  gratefully  accepted. ",32
3-166,That  disposes  of  that. ,4
3-167,"Oh!  I  said,  rather  nonplussed. ",5
3-168,"Really,  I  continued,  it's  her  extraordinary  vehemence  against  Inglethorp  that  started  me  off  suspecting  her. ",15
3-169,I  can't  help  feeling  she'd  do  anything  against  him. ,9
3-170,And  I  had  an  idea  she  might  know  something  about  the  destroying  of  the  will. ,15
3-171,"She  might  have  burnt  the  new  one,  mistaking  it  for  the  earlier  one  in  his  favour. ",16
3-172,She  is  so  terribly  bitter  against  him. ,7
3-173,You  consider  her  vehemence  unnatural? ,5
3-174,Y...es. ,1
3-175,She  is  so  very  violent. ,5
3-176,I  wondered  really  whether  she  is  quite  sane  on  that  point. ,11
3-177,Poirot  shook  his  head  energetically. ,5
3-178,"No,  no,  you  are  on  a  wrong  tack  there. ",9
3-179,There  is  nothing  weak-minded  or  degenerate  about  Miss  Howard. ,9
3-180,She  is  an  excellent  specimen  of  well-balanced  English  beef  and  brawn. ,11
3-181,She  is  sanity  itself. ,4
3-182,Yet  her  hatred  of  Inglethorp  seems  almost  a  mania. ,9
3-183,"My  idea  was...a  very  ridiculous  one,  no  doubt...that  she  had  intended  to  poison  him...and  that,  in  some  way,  Mr.s.  Inglethorp  got  hold  of  it  by  mistake. ",26
3-184,But  I  don't  at  all  see  how  it  could  have  been  done. ,12
3-185,The  whole  thing  is  absurd  and  ridiculous  to  the  last  degree. ,11
3-186,Still  you  are  right  in  one  thing. ,7
3-187,"It  is  always  wise  to  suspect  everybody  until  you  can  prove  logically,  and  to  your  own  satisfaction,  that  they  are  innocent. ",21
3-188,"Now,  what  reasons  are  there  against  Miss  Howard's  having  deliberately  poisoned  Mr.s.  Inglethorp? ",13
3-189,"Why,  she  was  devoted  to  her!  I  exclaimed. ",8
3-190,Tcha!  Tcha!  cried  Poirot  irritably. ,5
3-191,You  argue  like  a  child. ,5
3-192,"If  Miss  Howard  were  capable  of  poisoning  the  old  lady,  she  would  be  quite  equally  capable  of  simulating  devotion. ",19
3-193,"No,  we  must  look  elsewhere. ",5
3-194,You  are  perfectly  correct  in  your  assumption  that  her  vehemence  against  Alfred  Inglethorp  is  too  violent  to  be  natural;  but  you  are  quite  wrong  in  the  deduction  you  draw  from  it. ,31
3-195,"I  have  drawn  my  own  deductions,  which  I  believe  to  be  correct,  but  I  will  not  speak  of  them  at  present. ",21
3-196,"He  paused  a  minute,  then  went  on. ",7
3-197,"Now,  to  my  way  of  thinking,  there  is  one  insuperable  objection  to  Miss  Howard's  being  the  murderess. ",17
3-198,And  that  is? ,3
3-199,That  in  no  possible  way  could  Mr.s.  Inglethorp's  death  benefit  Miss  Howard. ,12
3-200,Now  there  is  no  murder  without  a  motive. ,8
3-201,I  reflected. ,2
3-202,Could  not  Mr.s.  Inglethorp  have  made  a  will  in  her  favour? ,11
3-203,Poirot  shook  his  head. ,4
3-204,But  you  yourself  suggested  that  possibility  to  Mr.  Wells? ,9
3-205,Poirot  smiled. ,2
3-206,That  was  for  a  reason. ,5
3-207,I  did  not  want  to  mention  the  name  of  the  person  who  was  actually  in  my  mind. ,17
3-208,"Miss  Howard  occupied  very  much  the  same  position,  so  I  used  her  name  instead. ",14
3-209,"Still,  Mr.s.  Inglethorp  might  have  done  so. ",7
3-210,"Why,  that  will,  made  on  the  afternoon  of  her  death  may...... ",11
3-211,But Poirot's  shake  of  the  head  was  so  energetic  that  I  stopped. ,12
3-212,"No,  my  friend. ",3
3-213,I  have  certain  little  ideas  of  my  own  about  that  will. ,11
3-214,But  I  can  tell  you  this  much...it  was  not  in  Miss  Howard's  favour. ,13
3-215,"I  accepted  his  assurance,  though  I  did  not  really  see  how  he  could  be  so  positive  about  the  matter. ",19
3-216,"Well,  I  said,  with  a  sigh,  we  will  acquit  Miss  Howard,  then. ",12
3-217,It  is  partly  your  fault  that  I  ever  came  to  suspect  her. ,12
3-218,It  was  what  you  said  about  her  evidence  at  the  inquest  that  set  me  off. ,15
3-219,Poirot  looked  puzzled. ,3
3-220,What  did  I  say  about  her  evidence  at  the  inquest? ,10
3-221,Don't  you  remember? ,3
3-222,When  I  cited  her  and  John  Cavendish  as  being  above  suspicion? ,11
3-223,Oh...ah...yes. ,1
3-224,"He  seemed  a  little  confused,  but  recovered  himself. ",8
3-225,"By  the  way,  Hastings,  there  is  something  I  want  you  to  do  for  me. ",14
3-226,Certainly. ,1
3-227,What  is  it? ,3
3-228,"Next  time  you  happen  to  be  alone  with  Lawrence  Cavendish,  I  want  you  to  say  this  to  him. ",18
3-229,"'I  have  a  message  for  you,  from  Poirot. ",8
3-230,"He  says:  Find  the  extra  coffee-cup,  and  you  can  rest  in  peace! ",12
3-231,'  Nothing  more. ,2
3-232,Nothing  less. ,2
3-233,"'Find  the  extra  coffee-cup,  and  you  can  rest  in  peace.' ",10
3-234,"Is  that  right?  I  asked,  much  mystified. ",7
3-235,Excellent. ,1
3-236,But  what  does  it  mean? ,5
3-237,"Ah,  that  I  will  leave  you  to  find  out. ",9
3-238,You  have  access  to  the  facts. ,6
3-239,"Just  say  that  to  him,  and  see  what  he  says. ",10
3-240,Very  well...but  it's  all  extremely  mysterious. ,6
3-241,"We  were  running  into  Tadminster  now,  and  Poirot  directed  the  car  to  the  Analytical  Chemist. ",15
3-242,"Poirot  hopped  down  briskly,  and  went  inside. ",7
3-243,In  a  few  minutes  he  was  back  again. ,8
3-244,"There,  he  said. ",3
3-245,That  is  all  my  business. ,5
3-246,"What  were  you  doing  there?  I  asked,  in  lively  curiosity. ",10
3-247,I  left  something  to  be  analysed. ,6
3-248,"Yes,  but  what? ",3
3-249,The  sample  of  cocoa  I  took  from  the  saucepan  in  the  bedroom. ,12
3-250,"But  that  has  already  been  tested!  I  cried,  stupefied. ",9
3-251,"Dr  Bauerstein  had  it  tested,  and  you  yourself  laughed  at  the  possibility  of  there  being  strychnine  in  it. ",18
3-252,"I  know  Dr  Bauerstein  had  it  tested,  replied  Poirot  quietly. ",10
3-253,"Well,  then? ",2
3-254,"Well,  I  have  a  fancy  for  having  it  analysed  again,  that  is  all. ",13
3-255,And  not  another  word  on  the  subject  could  I  drag  out  of  him. ,13
3-256,"This  proceeding  of  Poirot's,  in  respect  of  the  cocoa,  puzzled  me  intensely. ",12
3-257,I  could  see  neither  rhyme  nor  reason  in  it. ,9
